#,Year,Month,Constituency,CountyBoroughUniv,Franchise,ByElectionGeneral,ByElectionCause,Contested,ElectionCode,PollBookCode,Notes,Latitude,Longitude
3938,1730,May,Andover,B,Corporation,B,Re-elected after appointment to office,N,Andover_1730b,,,,
3939,1733,June,Andover,B,Corporation,B,Re-elected after appointment to office,N,Andover_1733a,,,,
3940,1734,Apr,Andover,B,Corporation,G,,N,Andover_1734a,,,,
3941,1741,May,Andover,B,Corporation,G,,Y,Andover_1741a,,,,
3942,1747,June,Andover,B,Corporation,G,,N,Andover_1747a,,,,
3943,1749,Nov,Andover,B,Corporation,B,Deceased,Y,Andover_1749a,,,,
3944,1754,Apr,Andover,B,Corporation,G,,N,Andover_1754a,,,,
3945,1761,Mar,Andover,B,Corporation,G,,Y,Andover_1761a,Andover_1761a/1,,,
3946,1768,Mar,Andover,B,Corporation,G,,Y,Andover_1768a,,,,
3947,1774,Oct,Andover,B,Corporation,G,,Y,Andover_1774a,,,,
3948,1780,Sept,Andover,B,Corporation,G,,N,Andover_1780a,,,,
3949,1784,Mar,Andover,B,Corporation,G,,N,Andover_1784a,,,,
3950,1784,Aug,Andover,B,Corporation,B,Called to the Upper House,N,Andover_1784b,,,,
3951,1790,June,Andover,B,Corporation,G,,N,Andover_1790a,,,,
3952,1796,May,Andover,B,Corporation,G,,Y,Andover_1796a,,,,
3953,1797,Dec,Andover,B,Corporation,B,Deceased,N,Andover_1797a,,,,
3954,1802,July,Andover,B,Corporation,G,,N,Andover_1802a,,,,
3955,1806,Oct,Andover,B,Corporation,G,,N,Andover_1806a,,,,
3956,1807,May,Andover,B,Corporation,G,,N,Andover_1807a,,,,
3957,1812,Oct,Andover,B,Corporation,G,,N,Andover_1812a,,,,
3958,1818,June,Andover,B,Corporation,G,,N,Andover_1818a,,,,
3959,1820,Apr,Andover,B,Corporation,G,,N,Andover_1820a,,,,
3960,1821,May,Andover,B,Corporation,B,Vacated seat,N,Andover_1821a,,,,
3961,1826,June,Andover,B,Corporation,G,,N,Andover_1826a,,,,
3962,1830,Aug,Andover,B,Corporation,G,,N,Andover_1830a,,,,
3963,1831,May,Andover,B,Corporation,G,,N,Andover_1831a,,,,
9855,1695,Nov,Appleby,B,Burgage,G,,N,Appleby_1695a,,,,
9856,1697,Dec,Appleby,B,Burgage,B,Deceased,N,Appleby_1697a,,,,
9857,1698,Aug,Appleby,B,Burgage,G,,N,Appleby_1698a,,,,
9858,1701,Jan,Appleby,B,Burgage,G,,Y,Appleby_1701a,Appleby_1701a/1,,,
9859,1701,Dec,Appleby,B,Burgage,G,,Y,Appleby_1701b,Appleby_1701b/1,,,
9860,1702,July,Appleby,B,Burgage,G,,Y,Appleby_1702a,Appleby_1702a/1,,,
9861,1705,May,Appleby,B,Burgage,G,,N,Appleby_1705a,,,,
9862,1708,May,Appleby,B,Burgage,G,,Y,Appleby_1708a,Appleby_1708a/1,,,
9863,1710,Oct,Appleby,B,Burgage,G,,Y,Appleby_1710a,Appleby_1710a/1,,,
9864,1713,Aug,Appleby,B,Burgage,G,,Y,Appleby_1713a,Appleby_1713a/1,,,
9865,1715,Feb,Appleby,B,Burgage,G,,N,Appleby_1715a,,,,
9866,1722,Mar,Appleby,B,Burgage,G,,N,Appleby_1722a,,,,
9867,1723,May,Appleby,B,Burgage,B,Deceased,Y,Appleby_1723a,Appleby_1723a/1,,,
9868,1727,Sept,Appleby,B,Burgage,G,,N,Appleby_1727a,,,,
9869,1730,Jan,Appleby,B,Burgage,B,Called to the Upper House,N,Appleby_1730a,,,,
9870,1734,May,Appleby,B,Burgage,G,,N,Appleby_1734a,,,,
9871,1741,May,Appleby,B,Burgage,G,,N,Appleby_1741a,,,,
9872,1742,Jan,Appleby,B,Burgage,B,Chose to sit for another constituency,N,Appleby_1742a,,,,
9873,1747,July,Appleby,B,Burgage,G,,N,Appleby_1747a,,,,
9874,1754,May,Appleby,B,Burgage,G,,Y,Appleby_1754a,Appleby_1754a/1; Appleby_1754a/2,Election declared void.,,
9875,1756,Mar,Appleby,B,Burgage,B,Previous election declared void,N,Appleby_1756a,,Previous general election declared void.,,
9876,1761,Apr,Appleby,B,Burgage,G,,N,Appleby_1761a,,,,
9877,1767,Jan,Appleby,B,Burgage,B,Deceased,N,Appleby_1767a,,,,
9878,1767,Dec,Appleby,B,Burgage,B,Re-elected after appointment to office,N,Appleby_1767b,,,,
9879,1768,Mar,Appleby,B,Burgage,G,,N,Appleby_1768a,,,,
9880,1773,Jan,Appleby,B,Burgage,B,Vacated seat,N,Appleby_1773a,,,,
9881,1774,Oct,Appleby,B,Burgage,G,,N,Appleby_1774a,,,,
9882,1780,Sept,Appleby,B,Burgage,G,,N,Appleby_1780a,,,,
9883,1781,Jan,Appleby,B,Burgage,B,Chose to sit for another constituency,N,Appleby_1781a,,,,
9884,1782,Aug,Appleby,B,Burgage,B,Re-elected after appointment to office,N,Appleby_1782a,,,,
9885,1784,Jan,Appleby,B,Burgage,B,Re-elected after appointment to office,N,Appleby_1784a,,,,
9886,1784,Apr,Appleby,B,Burgage,G,,N,Appleby_1784b,,,,
9887,1790,July,Appleby,B,Burgage,G,,N,Appleby_1790a,,,,
9888,1791,Jan,Appleby,B,Burgage,B,Chose to sit for another constituency,N,Appleby_1791a,,,,
9889,1791,May,Appleby,B,Burgage,B,Vacated seat,N,Appleby_1791b,,,,
9890,1796,May,Appleby,B,Burgage,G,,N,Appleby_1796a,Appleby_1796a/1,,,
9891,1799,June,Appleby,B,Burgage,B,Deceased,N,Appleby_1799a,,,,
9892,1802,July,Appleby,B,Burgage,G,,N,Appleby_1802a,,,,
9893,1806,Feb,Appleby,B,Burgage,B,Re-elected after appointment to office,N,Appleby_1806a,,,,
9894,1806,Oct,Appleby,B,Burgage,G,,N,Appleby_1806b,,,,
9895,1807,May,Appleby,B,Burgage,G,,N,Appleby_1807a,,,,
9896,1807,July,Appleby,B,Burgage,B,Vacated seat,N,Appleby_1807b,,,,
9897,1812,Oct,Appleby,B,Burgage,G,,N,Appleby_1812a,,,,
9898,1812,Dec,Appleby,B,Burgage,B,Vacated seat,N,Appleby_1812b,,,,
9899,1818,June,Appleby,B,Burgage,G,,N,Appleby_1818a,,,,
9900,1819,Apr,Appleby,B,Burgage,B,Vacated seat,N,Appleby_1819a,,,,
9901,1820,Mar,Appleby,B,Burgage,G,,N,Appleby_1820a,,,,
9902,1820,May,Appleby,B,Burgage,B,Chose to sit for another constituency,N,Appleby_1820b,,,,
9903,1826,June,Appleby,B,Burgage,G,,N,Appleby_1826a,,,,
9904,1830,Aug,Appleby,B,Burgage,G,,N,Appleby_1830a,,,,
9905,1831,May,Appleby,B,Burgage,G,,N,Appleby_1831a,,,,
9906,1832,May,Appleby,B,Burgage,B,Called to the Upper House,N,Appleby_1832a,,,,
9008,1695,Nov,Arundel,B,Scot and Lot,G,,Y,Arundel_1695a,,,,
9009,1698,Aug,Arundel,B,Scot and Lot,G,,N,Arundel_1698a,,,,
9010,1701,Jan,Arundel,B,Scot and Lot,G,,Y,Arundel_1701a,,,,
9011,1701,Nov,Arundel,B,Scot and Lot,G,,N,Arundel_1701b,,,,
9012,1702,July,Arundel,B,Scot and Lot,G,,Y,Arundel_1702a,,,,
9013,1705,May,Arundel,B,Scot and Lot,G,,N,Arundel_1705a,,,,
9014,1708,May,Arundel,B,Scot and Lot,G,,N,Arundel_1708a,,,,
9015,1708,Dec,Arundel,B,Scot and Lot,B,Chose to sit for another constituency,N,Arundel_1708b,,,,
9016,1709,Mar,Arundel,B,Scot and Lot,B,Re-elected after appointment to office,Y,Arundel_1709a,,,,
9017,1710,Oct,Arundel,B,Scot and Lot,G,,N,Arundel_1710a,,,,
9018,1713,Aug,Arundel,B,Scot and Lot,G,,N,Arundel_1713a,,,,
9019,1715,Jan,Arundel,B,Scot and Lot,G,,N,Arundel_1715a,,,,
